scene,config,model,sparse_path,images_path,images_registered,registration_ratio,points_3d,mean_reprojection_error,avg_track_length,execution_time_sec
garden,Cam_OpenCV,OPENCV,expC/sparse/garden/Cam_OpenCV/0,data/garden/images,185,1.0,146084,1.2355733888773044,6.651960515867583,4028.128087043762
garden,Ext_HighFeatures,OPENCV,expC/sparse/garden/Ext_HighFeatures/0,data/garden/images,185,1.0,142190,1.2419694496282054,6.671397425979324,3868.161248207092
bonsai,Cam_OpenCV,OPENCV,expC/sparse/bonsai/Cam_OpenCV/0,data/bonsai/images_4,292,1.0,100162,0.3779856307917935,9.484175635470535,2416.904538154602
bonsai,Ext_HighFeatures,OPENCV,expC/sparse/bonsai/Ext_HighFeatures/0,data/bonsai/images_4,292,1.0,98402,0.3807744992489498,9.655860653238756,2415.0849158763885
garden,Cam_Pinhole,PINHOLE,expC/sparse/garden/Cam_Pinhole/0,data/garden/images,185,1.0,146010,1.2353086949999903,6.6533182658722,3933.363018989563
bonsai,Cam_Pinhole,PINHOLE,expC/sparse/bonsai/Cam_Pinhole/0,data/bonsai/images_4,292,1.0,60813,1.1016977376938013,7.5540591649811715,3597.5500943660736
garden,Ext_LowFeatures,OPENCV,expC/sparse/garden/Ext_LowFeatures/0,data/garden/images,185,1.0,81606,1.3256062977001857,6.281241575374359,1310.7530369758606
bonsai,Ext_LowFeatures,OPENCV,expC/sparse/bonsai/Ext_LowFeatures/0,data/bonsai/images_4,292,1.0,94480,0.3826247730823167,9.00483700254022,2048.094259262085
garden,Match_Strict,OPENCV,expC/sparse/garden/Match_Strict/0,data/garden/images,185,1.0,130468,1.1661918055105234,6.959055093969402,4723.3181664943695
garden,Match_Loose,OPENCV,expC/sparse/garden/Match_Loose/0,data/garden/images,185,1.0,148290,1.2366371329859362,6.585885764380605,4067.003432989121
bonsai,Match_Strict,OPENCV,expC/sparse/bonsai/Match_Strict/0,data/bonsai/images_4,292,1.0,74536,0.3721384011727692,10.093136202640334,2922.014849424362
bonsai,Match_Loose,OPENCV,expC/sparse/bonsai/Match_Loose/0,data/bonsai/images_4,292,1.0,71672,1.1480192735136958,6.874651188748745,3938.0329473018646
garden,Map_Robust,OPENCV,expC/sparse/garden/Map_Robust/0,data/garden/images,185,1.0,146085,1.235152910528892,6.651997124961495,4041.641544818878
bonsai,Map_Robust,OPENCV,expC/sparse/bonsai/Map_Robust/0,data/bonsai/images_4,10,0.0342465753424657,1410,0.6882973075754144,5.675177304964539,2271.66063284874
